First 2 of SOC;SOC;Occupation;Generation;2007 Jobs;2013 Jobs;Job Change;% Job Change;2007 Share of All Jobs;2013 Share of All Jobs;Change in Share;
21;21-1019;Counselors, All Other;Baby Boomer; 	5.748 ;6.305;557;10 %;19%;20%;1%;
13;13-1051;Cost Estimators;Baby Boomer; 	46.991 ;47.547;556;1 %;19%;22%;3%;
17;17-2111;Health and Safety Engineers, Except Mining Safety Engineers and Inspectors;Baby Boomer; 	4.638 ;5.192;554;12 %;18%;21%;3%;
53;53-7199;Material Moving Workers, All Other;Baby Boomer; 	3.686 ;4.237;551;15 %;12%;15%;3%;
29;29-1129;Therapists, All Other;Baby Boomer; 	5.190 ;5.741;551;11 %;20%;20%;0%;
49;49-9052;Telecommunications Line Installers and Repairers;Baby Boomer; 	13.297 ;13.839;542;4 %;8%;10%;2%;
29;29-2051;Dietetic Technicians;Baby Boomer; 	2.643 ;3.183;540;20 %;11%;13%;2%;
29;29-1066;Psychiatrists;Baby Boomer; 	4.364 ;4.900;536;12 %;17%;18%;1%;
51;51-4034;Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic;Baby Boomer; 	7.570 ;8.105;535;7 %;18%;21%;3%;
11;11-2011;Advertising and Promotions Managers;Baby Boomer; 	3.464 ;3.998;534;15 %;10%;12%;2%;
53;53-4011;Locomotive Engineers;Baby Boomer; 	11.568 ;12.098;530;5 %;30%;30%; (0%);
35;35-9099;Food Preparation and Serving Related Workers, All Other;Baby Boomer; 	3.757 ;4.280;523;14 %;9%;10%;1%;
47;47-3013;Helpers--Electricians;Baby Boomer; 	3.726 ;4.245;519;14 %;5%;6%;1%;
13;13-1131;Fundraisers;Baby Boomer; 	11.920 ;12.439;519;4 %;17%;17%;0%;
11;11-3111;Compensation and Benefits Managers;Baby Boomer; 	3.482 ;3.995;513;15 %;17%;20%;3%;
51;51-9083;Ophthalmic Laboratory Technicians;Baby Boomer; 	3.650 ;4.157;507;14 %;12%;13%;1%;
11;11-1011;Chief Executives;Baby Boomer; 	78.636 ;79.137;501;1 %;24%;26%;2%;
17;17-3024;Electro-Mechanical Technicians;Baby Boomer; 	2.718 ;3.218;500;18 %;15%;18%;3%;
29;29-1181;Audiologists;Baby Boomer; 	1.005 ;1.496;491;49 %;9%;12%;3%;
19;19-4011;Agricultural and Food Science Technicians;Baby Boomer; 	3.017 ;3.508;491;16 %;15%;17%;2%;
53;53-4031;Railroad Conductors and Yardmasters;Baby Boomer; 	11.767 ;12.258;491;4 %;27%;26%; (1%);
47;47-5011;Derrick Operators, Oil and Gas;Baby Boomer; 	545 ;1.032;487;89 %;3%;4%;1%;
13;13-2071;Credit Counselors;Baby Boomer; 	2.972 ;3.458;486;16 %;11%;12%;1%;
19;19-1013;Soil and Plant Scientists;Baby Boomer; 	2.329 ;2.808;479;21 %;17%;18%;1%;
17;17-3031;Surveying and Mapping Technicians;Baby Boomer; 	8.492 ;8.964;472;6 %;14%;17%;3%;
53;53-7072;Pump Operators, Except Wellhead Pumpers;Baby Boomer; 	1.217 ;1.683;466;38 %;10%;13%;3%;
51;51-8012;Power Distributors and Dispatchers;Baby Boomer; 	1.935 ;2.395;460;24 %;17%;21%;4%;
29;29-9012;Occupational Health and Safety Technicians;Baby Boomer; 	1.843 ;2.302;459;25 %;16%;19%;3%;
49;49-2021;Radio, Cellular, and Tower Equipment Installers and Repairs;Baby Boomer; 	2.097 ;2.547;450;21 %;12%;14%;2%;
29;29-1128;Exercise Physiologists;Baby Boomer; 	1.338 ;1.781;443;33 %;15%;17%;2%;
53;53-2021;Air Traffic Controllers;Baby Boomer; 	3.909 ;4.351;442;11 %;17%;18%;1%;
39;39-4031;Morticians, Undertakers, and Funeral Directors;Baby Boomer; 	5.188 ;5.630;442;9 %;20%;22%;2%;
23;23-2099;Legal Support Workers, All Other;Baby Boomer; 	8.662 ;9.104;442;5 %;16%;16%;0%;
51;51-9082;Medical Appliance Technicians;Baby Boomer; 	2.094 ;2.533;439;21 %;16%;19%;3%;
49;49-9091;Coin, Vending, and Amusement Machine Servicers and Repairers;Baby Boomer; 	6.789 ;7.228;439;6 %;16%;18%;3%;
25;25-3011;Adult Basic and Secondary Education and Literacy Teachers and Instructors ;Baby Boomer; 	13.950 ;14.388;438;3 %;19%;19%;0%;
51;51-4193;Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic;Baby Boomer; 	4.840 ;5.275;435;9 %;12%;15%;3%;
19;19-4051;Nuclear Technicians;Baby Boomer; 	1.289 ;1.723;434;34 %;16%;21%;5%;
45;45-2093;Farmworkers, Farm, Ranch, and Aquacultural Animals;Baby Boomer; 	6.854 ;7.287;433;6 %;9%;9%;0%;
29;29-1041;Optometrists;Baby Boomer; 	4.646 ;5.077;431;9 %;13%;14%;1%;
49;49-2091;Avionics Technicians;Baby Boomer; 	2.520 ;2.948;428;17 %;15%;17%;2%;
19;19-3022;Survey Researchers;Baby Boomer; 	2.054 ;2.481;427;21 %;12%;13%;1%;
17;17-3012;Electrical and Electronics Drafters;Baby Boomer; 	4.380 ;4.805;425;10 %;13%;16%;3%;
51;51-4122;Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders;Baby Boomer; 	6.981 ;7.406;425;6 %;12%;14%;2%;
25;25-2012;Kindergarten Teachers, Except Special Education;Baby Boomer; 	30.237 ;30.655;418;1 %;20%;20%;0%;
29;29-1161;Nurse Midwives;Baby Boomer; 	794 ;1.206;412;52 %;15%;20%;5%;
15;15-2011;Actuaries;Baby Boomer; 	1.544 ;1.956;412;27 %;7%;9%;2%;
51;51-9121;Coating, Painting, and Spraying Machine Setters, Operators, and Tenders;Baby Boomer; 	9.238 ;9.646;408;4 %;10%;12%;2%;
19;19-4061;Social Science Research Assistants;Baby Boomer; 	3.344 ;3.751;407;12 %;12%;13%;1%;
25;25-2053;Special Education Teachers, Middle School;Baby Boomer; 	19.453 ;19.859;406;2 %;21%;21%; (0%);
51;51-9192;Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders;Baby Boomer; 	2.777 ;3.182;405;15 %;16%;19%;3%;
51;51-8011;Nuclear Power Reactor Operators;Baby Boomer; 	1.119 ;1.522;403;36 %;17%;21%;4%;
19;19-1022;Microbiologists;Baby Boomer; 	2.246 ;2.637;391;17 %;12%;13%;1%;
13;13-2081;Tax Examiners and Collectors, and Revenue Agents;Baby Boomer; 	11.647 ;12.035;388;3 %;18%;18%;0%;
39;39-3093;Locker Room, Coatroom, and Dressing Room Attendants;Baby Boomer; 	2.311 ;2.695;384;17 %;11%;13%;2%;
51;51-9021;Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders;Baby Boomer; 	4.405 ;4.789;384;9 %;13%;16%;3%;
51;51-8099;Plant and System Operators, All Other;Baby Boomer; 	1.987 ;2.370;383;19 %;16%;20%;4%;
11;11-9061;Funeral Service Managers;Baby Boomer; 	2.221 ;2.603;382;17 %;23%;26%;3%;
27;27-3012;Public Address System and Other Announcers;Baby Boomer; 	739 ;1.119;380;51 %;5%;6%;1%;
17;17-2151;Mining and Geological Engineers, Including Mining Safety Engineers;Baby Boomer; 	1.439 ;1.815;376;26 %;18%;22%;4%;
29;29-1124;Radiation Therapists;Baby Boomer; 	1.261 ;1.633;372;30 %;7%;9%;2%;
11;11-9161;Emergency Management Directors;Baby Boomer; 	1.883 ;2.252;369;20 %;20%;24%;4%;
53;53-7021;Crane and Tower Operators;Baby Boomer; 	8.437 ;8.806;369;4 %;17%;19%;2%;
31;31-1013;Psychiatric Aides;Baby Boomer; 	12.373 ;12.731;358;3 %;15%;16%;1%;
47;47-3012;Helpers--Carpenters;Baby Boomer; 	2.631 ;2.988;357;14 %;5%;7%;2%;
43;43-4011;Brokerage Clerks;Baby Boomer; 	5.853 ;6.208;355;6 %;8%;10%;2%;
25;25-4012;Curators;Baby Boomer; 	1.909 ;2.261;352;18 %;20%;22%;2%;
27;27-4032;Film and Video Editors;Baby Boomer; 	2.006 ;2.357;351;17 %;7%;8%;1%;
49;49-2093;Electrical and Electronics Installers and Repairers, Transportation Equipment;Baby Boomer; 	3.912 ;4.262;350;9 %;24%;26%;2%;
27;27-2023;Umpires, Referees, and Other Sports Officials;Baby Boomer; 	2.424 ;2.773;349;14 %;12%;13%;1%;
49;49-9069;Precision Instrument and Equipment Repairers, All Other;Baby Boomer; 	2.363 ;2.708;345;15 %;20%;22%;2%;
19;19-1031;Conservation Scientists;Baby Boomer; 	3.663 ;4.002;339;9 %;18%;19%;1%;
51;51-4051;Metal-Refining Furnace Operators and Tenders;Baby Boomer; 	3.330 ;3.668;338;10 %;15%;18%;3%;
39;39-2011;Animal Trainers;Baby Boomer; 	4.663 ;5.001;338;7 %;14%;15%;1%;
45;45-3011;Fishers and Related Fishing Workers;Baby Boomer; 	5.076 ;5.414;338;7 %;16%;16%; (0%);
37;37-2019;Building Cleaning Workers, All Other;Baby Boomer; 	1.915 ;2.251;336;18 %;12%;14%;2%;
27;27-4031;Camera Operators, Television, Video, and Motion Picture;Baby Boomer; 	1.843 ;2.177;334;18 %;8%;10%;2%;
51;51-9041;Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;Baby Boomer; 	11.346 ;11.680;334;3 %;14%;17%;3%;
51;51-9196;Paper Goods Machine Setters, Operators, and Tenders;Baby Boomer; 	17.516 ;17.850;334;2 %;15%;19%;4%;
45;45-1011;First-Line Supervisors of Farming, Fishing, and Forestry Workers;Baby Boomer; 	9.082 ;9.413;331;4 %;18%;19%;1%;
51;51-9032;Cutting and Slicing Machine Setters, Operators, and Tenders;Baby Boomer; 	11.485 ;11.799;314;3 %;17%;20%;3%;
29;29-1125;Recreational Therapists;Baby Boomer; 	2.378 ;2.689;311;13 %;13%;14%;1%;
27;27-2041;Music Directors and Composers;Baby Boomer; 	11.646 ;11.956;310;3 %;17%;17%;0%;
51;51-4192;Layout Workers, Metal and Plastic;Baby Boomer; 	1.970 ;2.275;305;15 %;14%;18%;4%;
17;17-2121;Marine Engineers and Naval Architects;Baby Boomer; 	1.665 ;1.968;303;18 %;22%;25%;3%;
47;47-4021;Elevator Installers and Repairers;Baby Boomer; 	1.905 ;2.206;301;16 %;9%;10%;1%;
47;47-5099;Extraction Workers, All Other;Baby Boomer; 	521 ;817;296;57 %;7%;9%;2%;
53;53-5031;Ship Engineers;Baby Boomer; 	1.605 ;1.900;295;18 %;14%;16%;2%;
47;47-5021;Earth Drillers, Except Oil and Gas;Baby Boomer; 	1.345 ;1.638;293;22 %;7%;8%;1%;
51;51-4035;Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic;Baby Boomer; 	3.867 ;4.156;289;7 %;15%;18%;3%;
43;43-5031;Police, Fire, and Ambulance Dispatchers;Baby Boomer; 	16.258 ;16.547;289;2 %;17%;17%;0%;
47;47-4071;Septic Tank Servicers and Sewer Pipe Cleaners;Baby Boomer; 	2.623 ;2.907;284;11 %;10%;11%;1%;
39;39-3099;Entertainment Attendants and Related Workers, All Other;Baby Boomer; 	1.273 ;1.548;275;22 %;10%;11%;1%;
29;29-2053;Psychiatric Technicians;Baby Boomer; 	10.089 ;10.362;273;3 %;15%;15%;0%;
47;47-5042;Mine Cutting and Channeling Machine Operators;Baby Boomer; 	894 ;1.165;271;30 %;14%;17%;3%;
25;25-2051;Special Education Teachers, Preschool;Baby Boomer; 	3.459 ;3.729;270;8 %;16%;17%;1%;
27;27-2021;Athletes and Sports Competitors;Baby Boomer; 	1.450 ;1.718;268;18 %;8%;9%;1%;
21;21-2099;Religious Workers, All Other;Baby Boomer; 	13.000 ;13.267;267;2 %;22%;22%;0%;
13;13-1011;Agents and Business Managers of Artists, Performers, and Athletes;Baby Boomer; 	1.928 ;2.193;265;14 %;9%;10%;1%;
51;51-6021;Pressers, Textile, Garment, and Related Materials;Baby Boomer; 	8.389 ;8.654;265;3 %;14%;16%;2%;
51;51-4194;Tool Grinders, Filers, and Sharpeners;Baby Boomer; 	3.546 ;3.807;261;7 %;26%;32%;6%;
25;25-9021;Farm and Home Management Advisors;Baby Boomer; 	2.478 ;2.736;258;10 %;21%;22%;1%;
21;21-1092;Probation Officers and Correctional Treatment Specialists;Baby Boomer; 	15.295 ;15.553;258;2 %;17%;18%;1%;
27;27-3021;Broadcast News Analysts;Baby Boomer; 	732 ;989;257;35 %;10%;13%;3%;
19;19-2032;Materials Scientists;Baby Boomer; 	1.027 ;1.284;257;25 %;13%;16%;3%;
47;47-2132;Insulation Workers, Mechanical;Baby Boomer; 	2.188 ;2.445;257;12 %;6%;8%;2%;
53;53-6061;Transportation Attendants, Except Flight Attendants ;Baby Boomer; 	4.729 ;4.986;257;5 %;20%;21%;1%;
29;29-2054;Respiratory Therapy Technicians;Baby Boomer; 	1.146 ;1.400;254;22 %;8%;10%;2%;
27;27-4014;Sound Engineering Technicians;Baby Boomer; 	1.588 ;1.839;251;16 %;8%;9%;1%;
53;53-7071;Gas Compressor and Gas Pumping Station Operators;Baby Boomer; 	519 ;769;250;48 %;12%;17%;5%;
19;19-2021;Atmospheric and Space Scientists;Baby Boomer; 	1.478 ;1.728;250;17 %;15%;16%;1%;
27;27-1024;Graphic Designers;Baby Boomer; 	35.092 ;35.342;250;1 %;12%;13%;1%;
49;49-9094;Locksmiths and Safe Repairers;Baby Boomer; 	4.637 ;4.886;249;5 %;21%;21%;0%;
17;17-1022;Surveyors;Baby Boomer; 	7.664 ;7.913;249;3 %;16%;18%;2%;
11;11-9031;Education Administrators, Preschool and Childcare Center/Program;Baby Boomer; 	14.075 ;14.324;249;2 %;20%;21%;1%;
45;45-2011;Agricultural Inspectors;Baby Boomer; 	2.682 ;2.929;247;9 %;18%;19%;1%;
51;51-9193;Cooling and Freezing Equipment Operators and Tenders;Baby Boomer; 	872 ;1.118;246;28 %;10%;13%;3%;
17;17-3021;Aerospace Engineering and Operations Technicians;Baby Boomer; 	1.867 ;2.113;246;13 %;18%;21%;4%;
19;19-4093;Forest and Conservation Technicians;Baby Boomer; 	5.691 ;5.936;245;4 %;18%;18%;0%;
37;37-3019;Grounds Maintenance Workers, All Other;Baby Boomer; 	2.557 ;2.801;244;10 %;12%;13%;1%;
53;53-7121;Tank Car, Truck, and Ship Loaders;Baby Boomer; 	1.992 ;2.233;241;12 %;14%;17%;3%;
19;19-3011;Economists;Baby Boomer; 	2.197 ;2.430;233;11 %;13%;14%;1%;
33;33-9021;Private Detectives and Investigators;Baby Boomer; 	6.681 ;6.913;232;3 %;20%;21%;1%;
13;13-1074;Farm Labor Contractors;Baby Boomer; 	508 ;734;226;44 %;36%;42%;6%;
25;25-4021;Librarians;Baby Boomer; 	29.211 ;29.437;226;1 %;21%;21%;0%;
49;49-9096;Riggers;Baby Boomer; 	1.630 ;1.855;225;14 %;10%;12%;2%;
39;39-3092;Costume Attendants;Baby Boomer; 	515 ;733;218;42 %;9%;12%;3%;
29;29-2091;Orthotists and Prosthetists;Baby Boomer; 	850 ;1.064;214;25 %;11%;13%;2%;
47;47-2011;Boilermakers;Baby Boomer; 	2.431 ;2.645;214;9 %;12%;14%;2%;
27;27-4099;Media and Communication Equipment Workers, All Other;Baby Boomer; 	1.835 ;2.044;209;11 %;11%;12%;1%;
47;47-5061;Roof Bolters, Mining;Baby Boomer; 	711 ;919;208;29 %;12%;14%;2%;
49;49-3022;Automotive Glass Installers and Repairers;Baby Boomer; 	760 ;968;208;27 %;4%;5%;1%;
13;13-1032;Insurance Appraisers, Auto Damage;Baby Boomer; 	1.811 ;2.017;206;11 %;13%;16%;3%;
51;51-4199;Metal Workers and Plastic Workers, All Other;Baby Boomer; 	3.244 ;3.449;205;6 %;14%;16%;2%;
45;45-4011;Forest and Conservation Workers;Baby Boomer; 	1.904 ;2.097;193;10 %;13%;14%;1%;
39;39-5011;Barbers;Baby Boomer; 	5.430 ;5.622;192;4 %;8%;9%;1%;
19;19-3091;Anthropologists and Archeologists;Baby Boomer; 	817 ;1.008;191;23 %;13%;15%;2%;
25;25-4013;Museum Technicians and Conservators;Baby Boomer; 	2.016 ;2.204;188;9 %;20%;21%;1%;
43;43-9111;Statistical Assistants;Baby Boomer; 	2.211 ;2.398;187;8 %;14%;16%;2%;
31;31-2012;Occupational Therapy Aides;Baby Boomer; 	540 ;724;184;34 %;7%;8%;1%;
25;25-4011;Archivists;Baby Boomer; 	962 ;1.146;184;19 %;19%;20%;1%;
53;53-6011;Bridge and Lock Tenders;Baby Boomer; 	558 ;741;183;33 %;16%;19%;3%;
13;13-1021;Buyers and Purchasing Agents, Farm Products;Baby Boomer; 	1.777 ;1.959;182;10 %;14%;16%;2%;
39;39-3012;Gaming and Sports Book Writers and Runners;Baby Boomer; 	1.953 ;2.133;180;9 %;13%;14%;1%;
19;19-3032;Industrial-Organizational Psychologists;Baby Boomer; 	588 ;764;176;30 %;34%;34%;0%;
51;51-4072;Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic;Baby Boomer; 	23.785 ;23.961;176;1 %;16%;19%;3%;
51;51-4032;Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic;Baby Boomer; 	5.657 ;5.828;171;3 %;24%;28%;4%;
53;53-7032;Excavating and Loading Machine and Dragline Operators;Baby Boomer; 	9.960 ;10.131;171;2 %;16%;19%;3%;
39;39-4021;Funeral Attendants;Baby Boomer; 	6.972 ;7.142;170;2 %;22%;22%;0%;
53;53-1011;Aircraft Cargo Handling Supervisors;Baby Boomer; 	762 ;928;166;22 %;10%;13%;3%;
47;47-5031;Explosives Workers, Ordnance Handling Experts, and Blasters;Baby Boomer; 	671 ;832;161;24 %;11%;12%;1%;
53;53-2022;Airfield Operations Specialists;Baby Boomer; 	866 ;1.022;156;18 %;11%;14%;3%;
19;19-2043;Hydrologists;Baby Boomer; 	935 ;1.091;156;17 %;13%;15%;2%;
51;51-4031;Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic;Baby Boomer; 	31.339 ;31.493;154;0 %;14%;17%;3%;
51;51-9051;Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders;Baby Boomer; 	3.801 ;3.952;151;4 %;15%;19%;4%;
19;19-1023;Zoologists and Wildlife Biologists;Baby Boomer; 	2.913 ;3.063;150;5 %;15%;16%;1%;
47;47-3019;Helpers, Construction Trades, All Other;Baby Boomer; 	1.447 ;1.595;148;10 %;5%;7%;2%;
51;51-4022;Forging Machine Setters, Operators, and Tenders, Metal and Plastic;Baby Boomer; 	3.749 ;3.897;148;4 %;14%;17%;3%;
29;29-2092;Hearing Aid Specialists;Baby Boomer; 	462 ;607;145;31 %;9%;11%;2%;
19;19-3051;Urban and Regional Planners;Baby Boomer; 	5.664 ;5.807;143;3 %;15%;15%;0%;
45;45-2099;Agricultural Workers, All Other;Baby Boomer; 	1.121 ;1.259;138;12 %;7%;8%;1%;
51;51-9197;Tire Builders;Baby Boomer; 	1.614 ;1.752;138;9 %;8%;10%;2%;
27;27-1021;Commercial and Industrial Designers;Baby Boomer; 	5.669 ;5.807;138;2 %;12%;14%;2%;
51;51-2021;Coil Winders, Tapers, and Finishers;Baby Boomer; 	3.063 ;3.197;134;4 %;18%;22%;4%;
39;39-1011;Gaming Supervisors;Baby Boomer; 	5.029 ;5.159;130;3 %;17%;18%;1%;
47;47-5049;Mining Machine Operators, All Other;Baby Boomer; 	271 ;399;128;47 %;10%;14%;4%;
43;43-4021;Correspondence Clerks;Baby Boomer; 	1.576 ;1.703;127;8 %;14%;16%;2%;
53;53-7033;Loading Machine Operators, Underground Mining;Baby Boomer; 	374 ;499;125;33 %;13%;17%;4%;
47;47-2151;Pipelayers;Baby Boomer; 	7.831 ;7.956;125;2 %;12%;13%;1%;
47;47-3016;Helpers--Roofers;Baby Boomer; 	886 ;1.007;121;14 %;6%;8%;3%;
19;19-3094;Political Scientists;Baby Boomer; 	800 ;920;120;15 %;13%;13%;0%;
39;39-5091;Makeup Artists, Theatrical and Performance;Baby Boomer; 	304 ;423;119;39 %;7%;8%;1%;
19;19-1099;Life Scientists, All Other;Baby Boomer; 	1.007 ;1.123;116;12 %;11%;12%;1%;
53;53-7111;Mine Shuttle Car Operators;Baby Boomer; 	477 ;592;115;24 %;17%;19%;2%;
47;47-4061;Rail-Track Laying and Maintenance Equipment Operators;Baby Boomer; 	3.356 ;3.467;111;3 %;19%;19%;0%;
43;43-9071;Office Machine Operators, Except Computer;Baby Boomer; 	9.141 ;9.252;111;1 %;11%;13%;2%;
27;27-1027;Set and Exhibit Designers;Baby Boomer; 	1.097 ;1.207;110;10 %;10%;11%;1%;
29;29-1011;Chiropractors;Baby Boomer; 	5.243 ;5.352;109;2 %;11%;12%;1%;
15;15-2021;Mathematicians;Baby Boomer; 	363 ;468;105;29 %;11%;12%;1%;
41;41-9012;Models;Baby Boomer; 	812 ;915;103;13 %;9%;10%;1%;
49;49-2092;Electric Motor, Power Tool, and Related Repairers;Baby Boomer; 	3.822 ;3.925;103;3 %;17%;20%;3%;
51;51-9141;Semiconductor Processors;Baby Boomer; 	3.257 ;3.359;102;3 %;13%;15%;2%;
25;25-9011;Audio-Visual and Multimedia Collections Specialists;Baby Boomer; 	2.151 ;2.251;100;5 %;23%;24%;1%;
47;47-4031;Fence Erectors;Baby Boomer; 	2.581 ;2.680;99;4 %;7%;9%;2%;
49;49-3051;Motorboat Mechanics and Service Technicians;Baby Boomer; 	3.601 ;3.700;99;3 %;14%;16%;2%;
51;51-4191;Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic;Baby Boomer; 	6.409 ;6.508;99;2 %;26%;30%;4%;
19;19-1011;Animal Scientists;Baby Boomer; 	364 ;462;98;27 %;14%;17%;3%;
17;17-1021;Cartographers and Photogrammetrists;Baby Boomer; 	1.995 ;2.093;98;5 %;16%;17%;1%;
39;39-7012;Travel Guides;Baby Boomer; 	1.518 ;1.613;95;6 %;23%;25%;2%;
29;29-1021;Dentists, General;Baby Boomer; 	28.581 ;28.675;94;0 %;21%;22%;1%;
53;53-7041;Hoist and Winch Operators;Baby Boomer; 	293 ;384;91;31 %;10%;14%;4%;
51;51-9022;Grinding and Polishing Workers, Hand;Baby Boomer; 	4.897 ;4.985;88;2 %;13%;16%;3%;
49;49-9061;Camera and Photographic Equipment Repairers;Baby Boomer; 	352 ;438;86;24 %;14%;17%;3%;
33;33-9031;Gaming Surveillance Officers and Gaming Investigators;Baby Boomer; 	1.701 ;1.786;85;5 %;17%;18%;1%;
29;29-9092;Genetic Counselors;Baby Boomer; 	107 ;191;84;79 %;6%;8%;2%;
19;19-4092;Forensic Science Technicians;Baby Boomer; 	1.768 ;1.850;82;5 %;14%;14%; (0%);
51;51-2091;Fiberglass Laminators and Fabricators;Baby Boomer; 	2.490 ;2.572;82;3 %;11%;14%;3%;
49;49-9081;Wind Turbine Service Technicians;Baby Boomer; 	945 ;1.025;80;8 %;17%;19%;2%;
29;29-1029;Dentists, All Other Specialists;Baby Boomer; 	1.529 ;1.609;80;5 %;23%;24%;1%;
43;43-2021;Telephone Operators;Baby Boomer; 	1.950 ;2.029;79;4 %;15%;18%;3%;
19;19-1032;Foresters;Baby Boomer; 	2.203 ;2.281;78;4 %;20%;21%;1%;
49;49-3091;Bicycle Repairers;Baby Boomer; 	423 ;497;74;17 %;4%;5%;1%;
19;19-1041;Epidemiologists;Baby Boomer; 	536 ;609;73;14 %;11%;11%;0%;
39;39-3019;Gaming Service Workers, All Other;Baby Boomer; 	1.934 ;2.006;72;4 %;13%;14%;1%;
17;17-2021;Agricultural Engineers;Baby Boomer; 	251 ;319;68;27 %;9%;11%;2%;
47;47-5051;Rock Splitters, Quarry;Baby Boomer; 	327 ;393;66;20 %;6%;9%;3%;
19;19-3041;Sociologists;Baby Boomer; 	292 ;357;65;22 %;12%;13%;1%;
29;29-1022;Oral and Maxillofacial Surgeons;Baby Boomer; 	1.919 ;1.984;65;3 %;26%;28%;2%;
51;51-4061;Model Makers, Metal and Plastic;Baby Boomer; 	1.647 ;1.711;64;4 %;24%;29%;5%;
15;15-2099;Mathematical Science Occupations, All Other;Baby Boomer; 	113 ;174;61;54 %;8%;11%;3%;
19;19-2011;Astronomers;Baby Boomer; 	428 ;488;60;14 %;18%;19%;1%;
53;53-4021;Railroad Brake, Signal, and Switch Operators;Baby Boomer; 	7.610 ;7.670;60;1 %;29%;29%; (0%);
35;35-2013;Cooks, Private Household;Baby Boomer; 	552 ;605;53;10 %;30%;31%;1%;
53;53-7031;Dredge Operators;Baby Boomer; 	269 ;319;50;19 %;10%;14%;4%;
47;47-2072;Pile-Driver Operators;Baby Boomer; 	578 ;628;50;9 %;12%;14%;2%;
19;19-3092;Geographers;Baby Boomer; 	205 ;252;47;23 %;14%;15%;1%;
19;19-3093;Historians;Baby Boomer; 	633 ;679;46;7 %;16%;16%;0%;
53;53-6041;Traffic Technicians;Baby Boomer; 	957 ;1.003;46;5 %;14%;15%;1%;
33;33-9011;Animal Control Workers;Baby Boomer; 	1.901 ;1.946;45;2 %;14%;14%;0%;
53;53-4013;Rail Yard Engineers, Dinkey Operators, and Hostlers;Baby Boomer; 	1.374 ;1.415;41;3 %;24%;25%;1%;
33;33-3041;Parking Enforcement Workers;Baby Boomer; 	1.562 ;1.602;40;3 %;15%;15%;0%;
49;49-9011;Mechanical Door Repairers;Baby Boomer; 	2.382 ;2.419;37;2 %;11%;15%;4%;
11;11-9071;Gaming Managers;Baby Boomer; 	871 ;907;36;4 %;17%;18%;1%;
25;25-2059;Special Education Teachers, All Other;Baby Boomer; 	7.733 ;7.769;36;0 %;19%;19%; (0%);
39;39-3021;Motion Picture Projectionists;Baby Boomer; 	351 ;386;35;10 %;4%;5%;1%;
47;47-2071;Paving, Surfacing, and Tamping Equipment Operators;Baby Boomer; 	6.815 ;6.850;35;1 %;10%;12%;2%;
27;27-2099;Entertainers and Performers, Sports and Related Workers, All Other;Baby Boomer; 	3.892 ;3.925;33;1 %;10%;10%; (0%);
27;27-2032;Choreographers;Baby Boomer; 	82 ;111;29;35 %;1%;1%; (0%);
43;43-9081;Proofreaders and Copy Markers;Baby Boomer; 	3.510 ;3.537;27;1 %;23%;26%;3%;
43;43-2099;Communications Equipment Operators, All Other;Baby Boomer; 	278 ;304;26;9 %;9%;10%;1%;
29;29-1023;Orthodontists;Baby Boomer; 	2.020 ;2.046;26;1 %;24%;26%;2%;
27;27-2031;Dancers;Baby Boomer; 	105 ;128;23;22 %;1%;1%;0%;
27;27-4013;Radio Operators;Baby Boomer; 	192 ;215;23;12 %;12%;14%;2%;
47;47-2231;Solar Photovoltaic Installers;Baby Boomer; 	307 ;330;23;7 %;4%;6%;2%;
51;51-2093;Timing Device Assemblers and Adjusters;Baby Boomer; 	77 ;99;22;29 %;6%;8%;2%;
49;49-9045;Refractory Materials Repairers, Except Brickmasons;Baby Boomer; 	368 ;389;21;6 %;16%;21%;5%;
45;45-2021;Animal Breeders;Baby Boomer; 	248 ;268;20;8 %;6%;7%;1%;
51;51-9151;Photographic Process Workers and Processing Machine Operators;Baby Boomer; 	5.393 ;5.413;20;0 %;10%;12%;2%;
45;45-3021;Hunters and Trappers;Baby Boomer; 	340 ;359;19;6 %;17%;16%; (1%);
15;15-2091;Mathematical Technicians;Baby Boomer; 	80 ;98;18;23 %;6%;7%;1%;
39;39-5093;Shampooers;Baby Boomer; 	1.858 ;1.875;17;1 %;8%;9%;1%;
51;51-9122;Painters, Transportation Equipment;Baby Boomer; 	4.734 ;4.751;17;0 %;8%;9%;1%;
53;53-2012;Commercial Pilots;Baby Boomer; 	7.468 ;7.484;16;0 %;19%;21%;2%;
53;53-5022;Motorboat Operators;Baby Boomer; 	722 ;737;15;2 %;18%;18%;0%;
33;33-3052;Transit and Railroad Police;Baby Boomer; 	1.027 ;1.042;15;1 %;23%;23%;0%;
