"faa","name","lat","lon","alt","tz","dst","city","country","flight_date","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","airline","tail_number","flight_number","origin","dest","air_time","actual_elapsed_time","distance","cancelled","diverted"
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1000,1002,-2,1014,1017,-3,DL,N951DL,2179,ATL,PNS,47,74,271,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",928,935,-7,1108,1115,-7,YX,N856RW,3668,IAH,PNS,75,100,489,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",942,944,-2,944,950,-6,DL,N943DL,2716,ATL,VPS,41,62,250,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",1002,1010,-8,1154,1155,-1,EV,N18557,4451,IAH,ECP,92,112,572,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",1019,1025,-6,1131,1147,-16,MQ,N681AE,3663,MIA,TLH,59,72,402,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1017,1020,-3,1211,1208,3,MQ,N250NN,3324,DFW,PNS,84,114,604,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",1032,1037,-5,1122,1135,-13,G4,"274NV",1917,LCK,VPS,90,110,675,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",1051,1050,1,1149,1150,-1,DL,N983AT,489,ATL,TLH,38,58,223,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",1051,1055,-4,1248,1257,-9,YV,N957LR,5740,DFW,VPS,87,117,641,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",1105,1112,-7,1115,1116,-1,DL,N944DL,1733,ATL,ECP,41,70,240,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",1128,1131,-3,1156,1209,-13,EV,N605QX,2893,CLT,ECP,64,88,437,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1126,1130,-4,1156,1214,-18,OH,N551NN,5298,CLT,PNS,67,90,488,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1154,1155,-1,1341,1334,7,EV,N12567,4393,IAH,PNS,74,107,489,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1131,1138,-7,1246,1300,-14,MQ,N228NN,3771,DCA,PNS,107,135,816,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",1225,1225,0,1414,1423,-9,EV,N720EV,2895,DFW,ECP,92,109,685,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",1203,1200,3,1349,1349,0,EV,N16571,3995,IAH,VPS,80,106,528,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1234,1236,-2,1243,1247,-4,DL,N973DL,1353,ATL,PNS,46,69,271,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1253,1300,-7,1435,1443,-8,AA,N971TW,2389,DFW,PNS,83,102,604,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",1303,1305,-2,1619,1610,9,MQ,N243NN,4069,DFW,TLH,102,136,767,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",1303,1306,-3,1338,1349,-11,OH,N594NN,5500,CLT,VPS,69,95,460,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",1403,1320,43,1523,1451,32,OH,N590NN,5662,CLT,TLH,62,80,386,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",1354,1354,0,1349,1352,-3,DL,N906DE,2506,ATL,ECP,38,55,240,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",1358,1342,16,1402,1348,14,DL,N935DL,2873,ATL,VPS,41,64,250,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1408,1414,-6,1536,1554,-18,YX,N128HQ,4537,PHL,PNS,130,148,935,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",1419,1421,-2,1513,1523,-10,DL,N980AT,1399,ATL,TLH,39,54,223,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",1429,1439,-10,1603,1603,0,MQ,N667GB,3861,MIA,TLH,65,94,402,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",1437,1445,-8,1617,1630,-13,EV,N14568,4249,IAH,ECP,85,100,572,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1452,1455,-3,1542,1542,0,YX,N131HQ,4553,CLT,PNS,74,110,488,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",1507,1510,-3,1513,1516,-3,DL,N988DL,2802,ATL,VPS,45,66,250,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",1616,1610,6,1731,1737,-6,OH,N571NN,5248,CLT,TLH,61,75,386,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1610,1615,-5,1655,1701,-6,MQ,N662EH,3427,MIA,PNS,76,105,530,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",1617,1617,0,1716,1712,4,DL,N913DL,1786,ATL,TLH,40,59,223,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",1645,1650,-5,1849,1846,3,YV,N912FJ,5906,DFW,VPS,88,124,641,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1651,1655,-4,1845,1845,0,MQ,N236NN,3877,DFW,PNS,82,114,604,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1826,1655,91,1830,1704,86,DL,N554NW,1814,ATL,PNS,42,64,271,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1718,1705,13,1837,1830,7,WN,N705SW,976,HOU,PNS,69,79,488,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",1743,1710,33,1913,1845,28,WN,N756SA,2008,HOU,ECP,79,90,571,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",1705,1713,-8,1702,1711,-9,DL,N999DN,1403,ATL,ECP,38,57,240,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",1942,1719,143,1947,1722,145,DL,N962DL,1167,ATL,VPS,39,65,250,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",1724,1730,-6,1842,1854,-12,MQ,N680AE,3844,MIA,TLH,61,78,402,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1806,1741,25,1839,1821,18,OH,N725PS,5463,CLT,PNS,69,93,488,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",1810,1745,25,1847,1825,22,OH,N582NN,5709,CLT,VPS,64,97,460,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",1757,1801,-4,1941,1940,1,YX,N126HQ,4660,CLT,TLH,63,104,386,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",1804,1804,0,1902,1910,-8,DL,N988DN,678,ATL,TLH,39,58,223,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1834,1837,-3,1835,1848,-13,DL,N992DL,2182,ATL,PNS,43,61,271,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",1845,1850,-5,2120,2054,26,EV,N617QX,2870,DFW,ECP,92,155,685,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",1851,1855,-4,2041,2053,-12,AA,N970TW,1445,DFW,VPS,88,110,641,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",1930,1935,-5,2038,2050,-12,WN,N7876A,1378,BNA,ECP,57,68,401,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1931,1935,-4,2041,2050,-9,WN,N490WN,1020,BNA,PNS,56,70,391,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",1939,1935,4,2056,2101,-5,OH,N545PB,5597,DCA,PNS,109,137,816,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",1934,1936,-2,1944,1945,-1,DL,N961DL,1856,ATL,VPS,41,70,250,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",2202,2030,92,103,2333,90,MQ,N232NN,4131,DFW,TLH,109,121,767,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",2031,2035,-4,2216,2220,-4,AA,N9624T,2641,DFW,PNS,82,105,604,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",2146,2151,-5,2237,2242,-5,MQ,N675AE,4109,MIA,PNS,77,111,530,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",2230,2232,-2,2343,2359,-16,OH,N709PS,5284,CLT,TLH,54,73,386,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",2244,2245,-1,2244,2250,-6,DL,N987DL,2303,ATL,ECP,38,60,240,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-06",708,705,3,908,901,7,YV,N920FJ,5725,DFW,VPS,91,120,641,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",815,821,-6,823,830,-7,DL,N999DN,2212,ATL,PNS,45,68,271,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-06",835,835,0,903,911,-8,OH,N576NN,5564,CLT,VPS,72,88,460,0,0
