"faa","name","lat","lon","alt","tz","dst","city","country","flight_date","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","airline","tail_number","flight_number","origin","dest","air_time","actual_elapsed_time","distance","cancelled","diverted"
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-04",1351,1354,-3,1349,1352,-3,DL,N911DE,2506,ATL,ECP,37,58,240,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-04",1500,1414,46,1626,1554,32,YX,N135HQ,4537,PHL,PNS,119,146,935,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-04",1455,1455,0,1535,1542,-7,YX,N110HQ,4553,CLT,PNS,72,100,488,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-04",1506,1459,7,1506,1511,-5,DL,N965DL,1270,ATL,PNS,41,60,271,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-04",1509,1510,-1,1510,1516,-6,DL,N974DL,2802,ATL,VPS,40,61,250,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-04",1507,1517,-10,1640,1701,-21,G4,"274NV",1903,BLV,VPS,79,93,587,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-04",1614,1620,-6,1756,1809,-13,EV,N13538,4412,IAH,VPS,79,102,528,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-04",1715,1635,40,1847,1812,35,YV,N88328,6184,IAH,PNS,70,92,489,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-04",1632,1645,-13,1709,1726,-17,G4,"224NV",1919,SDF,VPS,75,97,532,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-04",1658,1650,8,1900,1846,14,YV,N904FJ,5906,DFW,VPS,86,122,641,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-04",1720,1705,15,1851,1830,21,WN,N7847A,976,HOU,PNS,70,91,488,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-04",1712,1710,2,1844,1845,-1,WN,N7712G,2008,HOU,ECP,77,92,571,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-04",1725,1725,0,1722,1727,-5,DL,N944DL,1403,ATL,ECP,39,57,240,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-04",1748,1745,3,1822,1825,-3,OH,N561NN,5709,CLT,VPS,68,94,460,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-04",1813,1801,12,1940,1940,0,YX,N123HQ,4660,CLT,TLH,62,87,386,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-04",1856,1804,52,1949,1910,39,DL,N965AT,678,ATL,TLH,38,53,223,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-04",1914,1834,40,1916,1845,31,DL,N920DE,2182,ATL,PNS,43,62,271,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-04",1846,1850,-4,2038,2054,-16,EV,N717EV,2870,DFW,ECP,91,112,685,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-04",1848,1855,-7,2040,2053,-13,AA,N961TW,1445,DFW,VPS,88,112,641,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-04",1928,1935,-7,2027,2101,-34,OH,N534EA,5597,DCA,PNS,106,119,816,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-04",1935,1936,-1,1945,1945,0,DL,N978DL,1856,ATL,VPS,39,70,250,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-04",2055,2051,4,2148,2155,-7,DL,N975DL,1669,ATL,TLH,36,53,223,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-04",2034,2035,-1,2225,2220,5,AA,N9619V,2641,DFW,PNS,87,111,604,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-04",2043,2046,-3,2048,2057,-9,DL,N976DL,1236,ATL,PNS,44,65,271,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-04",2144,2151,-7,2219,2242,-23,MQ,N925AE,4109,MIA,PNS,77,95,530,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-04",2229,2232,-3,2343,2359,-16,OH,N547NN,5284,CLT,TLH,56,74,386,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-04",2236,2238,-2,2233,2247,-14,DL,N998DL,1213,ATL,PNS,43,57,271,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-04",2239,2241,-2,2334,2345,-11,DL,N989DL,485,ATL,TLH,40,55,223,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-04",2242,2241,1,2317,2320,-3,OH,N569NN,5696,CLT,VPS,66,95,460,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-04",2240,2242,-2,2241,2248,-7,DL,N992DL,1590,ATL,VPS,39,61,250,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-04",2241,2245,-4,2240,2250,-10,DL,N896DN,2303,ATL,ECP,39,59,240,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",,705,,,901,,YV,N244LR,5725,DFW,VPS,,,641,1,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",734,725,9,925,904,21,EV,N16571,4182,IAH,PNS,79,111,489,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",800,739,21,841,824,17,OH,N600NN,5237,CLT,PNS,73,101,488,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",741,745,-4,852,900,-8,WN,N748SW,1281,BNA,ECP,59,71,401,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",748,750,-2,905,905,0,WN,N416WN,2229,BNA,PNS,57,77,391,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",818,820,-2,820,831,-11,DL,N957DL,2212,ATL,PNS,46,62,271,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",852,835,17,918,911,7,OH,N589NN,5564,CLT,VPS,68,86,460,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",830,836,-6,935,941,-6,"9E",N181PQ,3281,ATL,TLH,41,65,223,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-05",844,850,-6,1022,1023,-1,YX,N407YX,4609,DCA,VPS,107,158,789,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-05",902,900,2,1018,1025,-7,OH,N584NN,5272,CLT,TLH,62,76,386,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-05",857,900,-3,857,903,-6,DL,N975DL,2029,ATL,ECP,43,60,240,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-05",915,915,0,955,1000,-5,MQ,N900AE,3733,MIA,PNS,78,100,530,0,0
